功能,Relationship,零部件
风向设定,isSupportedBy,百叶窗
风向设定,isSupportedBy,电动空气导流板
风向设定,isSupportedBy,空气格栅组件
制冷运转,isSupportedBy,压缩机
制冷运转,isSupportedBy,冷凝器
制冷运转,isSupportedBy,蒸发器
HOME运转,isSupportedBy,电控板
HOME运转,isSupportedBy,控制面板
HOME运转,isSupportedBy,运行模式继电器
信号发射,isSupportedBy,遥控器
信号发射,isSupportedBy,红外发射模块
信号发射,isSupportedBy,电控板
儿童锁,isSupportedBy,控制面板
儿童锁,isSupportedBy,儿童锁继电器
儿童锁,isSupportedBy,电控板
风速,isSupportedBy,风扇电机
风速,isSupportedBy,风扇叶片
风速,isSupportedBy,风扇控制板
安静运转,isSupportedBy,风扇电机
安静运转,isSupportedBy,电控板
安静运转,isSupportedBy,噪声消减技术
静眠,isSupportedBy,压缩机
静眠,isSupportedBy,风扇电机
静眠,isSupportedBy,电控板
除湿运转,isSupportedBy,压缩机
除湿运转,isSupportedBy,蒸发器
除湿运转,isSupportedBy,湿度传感器
送风运转,isSupportedBy,风扇电机
送风运转,isSupportedBy,风扇叶片
送风运转,isSupportedBy,电控板
制热运转,isSupportedBy,压缩机
制热运转,isSupportedBy,加热器
制热运转,isSupportedBy,蒸发器
定时开/关,isSupportedBy,定时继电器
定时开/关,isSupportedBy,定时电路
定时开/关,isSupportedBy,电控板
温度,isSupportedBy,温度传感器
温度,isSupportedBy,恒温器
温度,isSupportedBy,电控板
强力运转,isSupportedBy,压缩机
强力运转,isSupportedBy,风扇电机
强力运转,isSupportedBy,电控板
辅热运转,isSupportedBy,辅助电加热器
辅热运转,isSupportedBy,电控板
辅热运转,isSupportedBy,温度传感器
运行模式,isSupportedBy,控制面板
运行模式,isSupportedBy,模式选择器
运行模式,isSupportedBy,电控板
新风,isSupportedBy,新风机
新风,isSupportedBy,新风风扇
新风,isSupportedBy,电控板
辅助电加热,isSupportedBy,辅助电加热器
辅助电加热,isSupportedBy,电控板
辅助电加热,isSupportedBy,温度传感器
室内温度,isSupportedBy,温度传感器
室内温度,isSupportedBy,恒温器
室内温度,isSupportedBy,电控板
设定温度,isSupportedBy,温度传感器
设定温度,isSupportedBy,恒温器
设定温度,isSupportedBy,电控板
Wi-Fi,isSupportedBy,Wi-Fi模块
Wi-Fi,isSupportedBy,控制面板
Wi-Fi,isSupportedBy,电控板
防直吹/柔风,isSupportedBy,百叶窗
防直吹/柔风,isSupportedBy,电动空气导流板
防直吹/柔风,isSupportedBy,空气格栅组件
健康,isSupportedBy,净化滤网
健康,isSupportedBy,负离子发生器
健康,isSupportedBy,电控板
场景,isSupportedBy,控制面板
场景,isSupportedBy,场景继电器
场景,isSupportedBy,电控板
所有功能支持的AC部件,isSupportedBy,
灯光键,isSupportedBy,LED面板
灯光键,isSupportedBy,显示板
灯光键,isSupportedBy,灯泡
温度调节按键,isSupportedBy,温度传感器
温度调节按键,isSupportedBy,恒温器
温度调节按键,isSupportedBy,电控板
温度调节按键,isSupportedBy,压缩机
上下风向键,isSupportedBy,百叶窗
上下风向键,isSupportedBy,电动空气导流板
上下风向键,isSupportedBy,空气格栅组件
温度键,isSupportedBy,温度传感器
温度键,isSupportedBy,恒温器
温度键,isSupportedBy,电控板
风速键,isSupportedBy,风扇电机
风速键,isSupportedBy,风扇叶片
风速键,isSupportedBy,风扇控制板
强力/静音键,isSupportedBy,压缩机
强力/静音键,isSupportedBy,风扇电机
强力/静音键,isSupportedBy,电控板
定时键,isSupportedBy,定时继电器
定时键,isSupportedBy,定时电路
定时键,isSupportedBy,电控板
静眠键,isSupportedBy,压缩机
静眠键,isSupportedBy,风扇电机
静眠键,isSupportedBy,电控板
除湿键,isSupportedBy,压缩机
除湿键,isSupportedBy,蒸发器
除湿键,isSupportedBy,湿度传感器
制热键,isSupportedBy,压缩机
制热键,isSupportedBy,加热器
制热键,isSupportedBy,蒸发器
HOME键,isSupportedBy,控制面板
HOME键,isSupportedBy,控制按钮
HOME键,isSupportedBy,电控板
模式键,isSupportedBy,控制面板
模式键,isSupportedBy,模式选择器
模式键,isSupportedBy,电控板
温度键,isSupportedBy,温度传感器
温度键,isSupportedBy,恒温器
温度键,isSupportedBy,电控板
健康键,isSupportedBy,净化滤网
健康键,isSupportedBy,负离子发生器
健康键,isSupportedBy,电控板
辅热键,isSupportedBy,辅助电加热器
辅热键,isSupportedBy,电控板
辅热键,isSupportedBy,温度传感器
强力/静音键,isSupportedBy,压缩机
强力/静音键,isSupportedBy,风扇电机
强力/静音键,isSupportedBy,电控板
定时键,isSupportedBy,定时继电器
定时键,isSupportedBy,定时电路
定时键,isSupportedBy,电控板
屏显,isSupportedBy,显示屏
屏显,isSupportedBy,显示控制器
屏显,isSupportedBy,电控板
开机/关机,isSupportedBy,电源开关
开机/关机,isSupportedBy,开关继电器
开机/关机,isSupportedBy,电控板
除菌功能,isSupportedBy,紫外线灯
除菌功能,isSupportedBy,除菌滤网
除菌功能,isSupportedBy,电控板
除湿功能,isSupportedBy,压缩机
除湿功能,isSupportedBy,蒸发器
除湿功能,isSupportedBy,湿度传感器
PMV运转,isSupportedBy,温度传感器
PMV运转,isSupportedBy,恒温器
PMV运转,isSupportedBy,空气流速传感器
辅热运转,isSupportedBy,辅助电加热器
辅热运转,isSupportedBy,电控板
辅热运转,isSupportedBy,温度传感器
健康气流,isSupportedBy,净化滤网
健康气流,isSupportedBy,负离子发生器
健康气流,isSupportedBy,电控板
复位,isSupportedBy,复位按钮
复位,isSupportedBy,复位继电器
复位,isSupportedBy,电控板
NFC,isSupportedBy,NFC传感器
NFC,isSupportedBy,NFC模块
NFC,isSupportedBy,电控板
风感,isSupportedBy,风速传感器
风感,isSupportedBy,风扇电机
风感,isSupportedBy,电控板
除霜,isSupportedBy,除霜电热线圈
除霜,isSupportedBy,压缩机
除霜,isSupportedBy,电控板
极速运转,isSupportedBy,压缩机
极速运转,isSupportedBy,风扇电机
极速运转,isSupportedBy,电控板
静音运转,isSupportedBy,压缩机
静音运转,isSupportedBy,风扇电机
静音运转,isSupportedBy,电控板
Wi-Fi,isSupportedBy,Wi-Fi模块
Wi-Fi,isSupportedBy,控制面板
Wi-Fi,isSupportedBy,电控板
防直吹/柔风,isSupportedBy,百叶窗
防直吹/柔风,isSupportedBy,电动空气导流板
防直吹/柔风,isSupportedBy,空气格栅组件
健康,isSupportedBy,净化滤网
健康,isSupportedBy,负离子发生器
健康,isSupportedBy,电控板
场景,isSupportedBy,控制面板
场景,isSupportedBy,场景继电器
场景,isSupportedBy,电控板
左右摆风,isSupportedBy,摆风电机
左右摆风,isSupportedBy,摆风组件
左右摆风,isSupportedBy,电控板
上下摆风,isSupportedBy,摆风电机
上下摆风,isSupportedBy,摆风组件
上下摆风,isSupportedBy,电控板
洗空气,isSupportedBy,洗空气滤网
洗空气,isSupportedBy,负离子发生器
洗空气,isSupportedBy,电控板
定位出风,isSupportedBy,百叶窗
定位出风,isSupportedBy,电动空气导流板
定位出风,isSupportedBy,空气格栅组件
防直吹,isSupportedBy,百叶窗
防直吹,isSupportedBy,电动空气导流板
防直吹,isSupportedBy,空气格栅组件
聪明风,isSupportedBy,风速传感器
聪明风,isSupportedBy,风扇电机
聪明风,isSupportedBy,电控板
辅热,isSupportedBy,辅助电加热器
辅热,isSupportedBy,电控板
辅热,isSupportedBy,温度传感器
屏显,isSupportedBy,显示屏
屏显,isSupportedBy,显示控制器
屏显,isSupportedBy,电控板
互联,isSupportedBy,控制面板
互联,isSupportedBy,互联模块
互联,isSupportedBy,电控板
确定/取消,isSupportedBy,控制按钮
确定/取消,isSupportedBy,确认继电器
确定/取消,isSupportedBy,电控板
风速调节按键,isSupportedBy,风扇电机
风速调节按键,isSupportedBy,风扇叶片
风速调节按键,isSupportedBy,风扇控制板
开关机按键,isSupportedBy,电源开关
开关机按键,isSupportedBy,开关继电器
开关机按键,isSupportedBy,电控板
场景,isSupportedBy,控制面板
场景,isSupportedBy,场景继电器
场景,isSupportedBy,电控板
左右摆风,isSupportedBy,摆风电机
左右摆风,isSupportedBy,摆风组件
左右摆风,isSupportedBy,电控板
互联,isSupportedBy,控制面板
互联,isSupportedBy,互联模块
互联,isSupportedBy,电控板
屏显,isSupportedBy,显示屏
屏显,isSupportedBy,显示控制器
屏显,isSupportedBy,电控板
上下摆风,isSupportedBy,摆风电机
上下摆风,isSupportedBy,摆风组件
上下摆风,isSupportedBy,电控板
洗空气,isSupportedBy,洗空气滤网
洗空气,isSupportedBy,负离子发生器
洗空气,isSupportedBy,电控板
定位出风,isSupportedBy,百叶窗
定位出风,isSupportedBy,电动空气导流板
定位出风,isSupportedBy,空气格栅组件
防直吹,isSupportedBy,百叶窗
防直吹,isSupportedBy,电动空气导流板
防直吹,isSupportedBy,空气格栅组件
除甲醛,isSupportedBy,除甲醛滤网
除甲醛,isSupportedBy,负离子发生器
除甲醛,isSupportedBy,电控板
语音控制,isSupportedBy,语音控制模块
语音控制,isSupportedBy,控制面板
语音控制,isSupportedBy,电控板
静眠,isSupportedBy,压缩机
静眠,isSupportedBy,风扇电机
静眠,isSupportedBy,电控板
停电补偿,isSupportedBy,电控板
停电补偿,isSupportedBy,电池组
停电补偿,isSupportedBy,停电检测器
自清洁,isSupportedBy,自清洁功能模块
自清洁,isSupportedBy,控制面板
自清洁,isSupportedBy,电控板
光感,isSupportedBy,光传感器
光感,isSupportedBy,电控板
光感,isSupportedBy,显示面板
NFC,isSupportedBy,NFC传感器
NFC,isSupportedBy,NFC模块
NFC,isSupportedBy,电控板
NFC,isSupportedBy,NFC传感器
NFC,isSupportedBy,NFC模块
NFC,isSupportedBy,电控板
风感,isSupportedBy,风速传感器
风感,isSupportedBy,风扇电机
风感,isSupportedBy,电控板
场景,isSupportedBy,控制面板
场景,isSupportedBy,场景继电器
场景,isSupportedBy,电控板
辅助电加热,isSupportedBy,辅助电加热器
辅助电加热,isSupportedBy,电控板
辅助电加热,isSupportedBy,温度传感器
静眠,isSupportedBy,压缩机
静眠,isSupportedBy,风扇电机
静眠,isSupportedBy,电控板
防直吹,isSupportedBy,百叶窗
防直吹,isSupportedBy,电动空气导流板
防直吹,isSupportedBy,空气格栅组件
强力除湿,isSupportedBy,压缩机
强力除湿,isSupportedBy,蒸发器
强力除湿,isSupportedBy,湿度传感器
