型号,Relationship,功能
KFR-25GW/10FAA13XU1,hasFunction,停电补偿
KFR-25GW/10FAA13XU1,hasFunction,温度
KFR-25GW/10FAA13XU1,hasFunction,除湿
KFR-25GW/10FAA13XU1,hasFunction,PMV
KFR-25GW/10FAA13XU1,hasFunction,辅热运转
KFR-25GW/10FAA13XU1,hasFunction,健康气流
KFR-25GW/10FAA13XU1,hasFunction,模式
KFR-25GW/10FAA13XU1,hasFunction,屏显
KFR-25GW/10FAA13XU1,hasFunction,信号发射
KFR-25GW/10FAA13XU1,hasFunction,定时
KFR-25GW/10FAA13XU1,hasFunction,辅热
KFR-25GW/10FAA13XU1,hasFunction,灯光
KFR-25GW/10FAA13XU1,hasFunction,除甲醛
KFR-25GW/10FAA13XU1,hasFunction,强力运转
KFR-25GW/10FAA13XU1,hasFunction,风向设定
KFR-25GW/10FAA13XU1,hasFunction,制热运转
KFR-25GW/10FAA13XU1,hasFunction,室内温度
KFR-25GW/10FAA13XU1,hasFunction,健康
KFR-25GW/10FAA13XU1,hasFunction,除霜
KFR-25GW/10FAA13XU1,hasFunction,定时开/关
KFR-25GW/10FAA13XU1,hasFunction,复位
KFR-25GW/10FAA13XU1,hasFunction,制冷运转
KFR-25GW/10FAA13XU1,hasFunction,PMV运转
KFR-25GW/10FAA13XU1,hasFunction,风向调节
KFR-25GW/10FAA13XU1,hasFunction,应急运转
KFR-25GW/10FAA13XU1,hasFunction,风速
KFR-25GW/10FAA13XU1,hasFunction,设定温度
KFR-25GW/10FAA13XU1,hasFunction,辅助电加热
KFR-25GW/10FAA13XU1,hasFunction,静眠
KFR-25GW/10FAA13XU1,hasFunction,送风运转
KFR-25GW/10FAA13XU1,hasFunction,人体舒适智能控制系统
KFR-25GW/10FAA13XU1,hasFunction,除湿运转
KFR-25GW/10FAA13XU1,hasFunction,上下风向
KFR-25GW/10FAA13XU1,hasFunction,安静运转
KFR-25GW/10FAA13XU1,hasFunction,开机/关机
KFR-25GW/10FAA13XU1,hasFunction,确定/取消
KFR-25GW/10FAA13XU1,hasFunction,基本运转
SKFR-26GW/01VAA22AU1,hasFunction,温度
SKFR-26GW/01VAA22AU1,hasFunction,Wi-Fi
SKFR-26GW/01VAA22AU1,hasFunction,定时
SKFR-26GW/01VAA22AU1,hasFunction,水离子运转
SKFR-26GW/01VAA22AU1,hasFunction,健康
SKFR-26GW/01VAA22AU1,hasFunction,场景
SKFR-26GW/01VAA22AU1,hasFunction,健康运转
SKFR-26GW/01VAA22AU1,hasFunction,互联
KFR-35GW/81@U1-Kd,hasFunction,静音
KFR-35GW/81@U1-Kd,hasFunction,停电补偿
KFR-35GW/81@U1-Kd,hasFunction,温度
KFR-35GW/81@U1-Kd,hasFunction,除湿
KFR-35GW/81@U1-Kd,hasFunction,PMV
KFR-35GW/81@U1-Kd,hasFunction,极速运转
KFR-35GW/81@U1-Kd,hasFunction,辅热运转
KFR-35GW/81@U1-Kd,hasFunction,模式
KFR-35GW/81@U1-Kd,hasFunction,屏显
KFR-35GW/81@U1-Kd,hasFunction,信号发射
KFR-35GW/81@U1-Kd,hasFunction,Wi-Fi
KFR-35GW/81@U1-Kd,hasFunction,定时
KFR-35GW/81@U1-Kd,hasFunction,静音运转
KFR-35GW/81@U1-Kd,hasFunction,辅热
KFR-35GW/81@U1-Kd,hasFunction,自清洁
KFR-35GW/81@U1-Kd,hasFunction,灯光
KFR-35GW/81@U1-Kd,hasFunction,风向设定
KFR-35GW/81@U1-Kd,hasFunction,制热运转
KFR-35GW/81@U1-Kd,hasFunction,室内温度
KFR-35GW/81@U1-Kd,hasFunction,健康
KFR-35GW/81@U1-Kd,hasFunction,除霜
KFR-35GW/81@U1-Kd,hasFunction,场景
KFR-35GW/81@U1-Kd,hasFunction,定时开/关
KFR-35GW/81@U1-Kd,hasFunction,复位
KFR-35GW/81@U1-Kd,hasFunction,制冷运转
KFR-35GW/81@U1-Kd,hasFunction,PMV运转
KFR-35GW/81@U1-Kd,hasFunction,防直吹
KFR-35GW/81@U1-Kd,hasFunction,WiFi配置
KFR-35GW/81@U1-Kd,hasFunction,风向调节
KFR-35GW/81@U1-Kd,hasFunction,极速
KFR-35GW/81@U1-Kd,hasFunction,光感
KFR-35GW/81@U1-Kd,hasFunction,应急运转
KFR-35GW/81@U1-Kd,hasFunction,风速
KFR-35GW/81@U1-Kd,hasFunction,设定温度
KFR-35GW/81@U1-Kd,hasFunction,辅助电加热
KFR-35GW/81@U1-Kd,hasFunction,静眠
KFR-35GW/81@U1-Kd,hasFunction,送风运转
KFR-35GW/81@U1-Kd,hasFunction,人体舒适智能控制系统
KFR-35GW/81@U1-Kd,hasFunction,运行模式
KFR-35GW/81@U1-Kd,hasFunction,除湿运转
KFR-35GW/81@U1-Kd,hasFunction,上下风向
KFR-35GW/81@U1-Kd,hasFunction,制冷模式
KFR-35GW/81@U1-Kd,hasFunction,确定/取消
KFR-35GW/81@U1-Kd,hasFunction,基本运转
KFR-35GW/01KBB81U1,hasFunction,静音
KFR-35GW/01KBB81U1,hasFunction,停电补偿
KFR-35GW/01KBB81U1,hasFunction,温度
KFR-35GW/01KBB81U1,hasFunction,除湿
KFR-35GW/01KBB81U1,hasFunction,PMV
KFR-35GW/01KBB81U1,hasFunction,极速运转
KFR-35GW/01KBB81U1,hasFunction,辅热运转
KFR-35GW/01KBB81U1,hasFunction,模式
KFR-35GW/01KBB81U1,hasFunction,屏显
KFR-35GW/01KBB81U1,hasFunction,信号发射
KFR-35GW/01KBB81U1,hasFunction,Wi-Fi
KFR-35GW/01KBB81U1,hasFunction,定时
KFR-35GW/01KBB81U1,hasFunction,静音运转
KFR-35GW/01KBB81U1,hasFunction,辅热
KFR-35GW/01KBB81U1,hasFunction,自清洁
KFR-35GW/01KBB81U1,hasFunction,灯光
KFR-35GW/01KBB81U1,hasFunction,风向设定
KFR-35GW/01KBB81U1,hasFunction,制热运转
KFR-35GW/01KBB81U1,hasFunction,室内温度
KFR-35GW/01KBB81U1,hasFunction,健康
KFR-35GW/01KBB81U1,hasFunction,除霜
KFR-35GW/01KBB81U1,hasFunction,场景
KFR-35GW/01KBB81U1,hasFunction,定时开/关
KFR-35GW/01KBB81U1,hasFunction,复位
KFR-35GW/01KBB81U1,hasFunction,制冷运转
KFR-35GW/01KBB81U1,hasFunction,PMV运转
KFR-35GW/01KBB81U1,hasFunction,防直吹
KFR-35GW/01KBB81U1,hasFunction,WiFi配置
KFR-35GW/01KBB81U1,hasFunction,风向调节
KFR-35GW/01KBB81U1,hasFunction,极速
KFR-35GW/01KBB81U1,hasFunction,光感
KFR-35GW/01KBB81U1,hasFunction,应急运转
KFR-35GW/01KBB81U1,hasFunction,风速
KFR-35GW/01KBB81U1,hasFunction,设定温度
KFR-35GW/01KBB81U1,hasFunction,辅助电加热
KFR-35GW/01KBB81U1,hasFunction,静眠
KFR-35GW/01KBB81U1,hasFunction,送风运转
KFR-35GW/01KBB81U1,hasFunction,人体舒适智能控制系统
