型号,产品包含,价格,使用场景,冷暖类型,制冷剂,制冷季节能源消耗效率(SEER),制冷量,制热功率,制热量,功能,变频/定频,外观设计,室内机尺寸,室内机质量,室外机尺寸,室外机质量,平均制冷功率,循环风量,扫风方式,控制方式,最低制冷功率,最大室内噪音,最大室外噪音,最小室内噪音,最小室外噪音,最高制冷功率,电辅加热功率,电辅加热电流,空调匹数,空调类型,系列名称,能效等级,质保备注,质保时间,适用面积,预算,颜色
KFR-25GW/10FAA13XU1,说明书x1 遥控器x1 室外机x1 室内机x1 保修卡x1 联机管x1,1799,卧室,冷暖电辅型,R22,3.5,2500W,800W,2750+950W,,定频,,865×200×290mm,9.5kg,830×285×545mm,28kg,755W,600m3/h,,遥控 APP操控,,38dB,49dB,34dB,49dB,,1100W,,1P,壁挂式空调,小超人系列,三级能效,整机6年，主要部件6年,6年,10-15㎡,2000 3000,珍珠白
KFR-26GW/83@U1-Ge,说明书x1 遥控器x1 排水管x1 护圈x1 挂墙板x1 螺钉套件x1 外机排水弯头x1 腻子粉x1 电池x2 连机管x1 不粘胶带x1 空调套装*1,2169 1999,卧室 卧室 客厅,冷暖型 冷暖电辅型,R32 R32,4.1 30,2600(300-3850)W,1050(100-1700)W,3800(300-4920)W,,变频 变频,,800×300×190mm 800*300*190mm,10kg 10kg,800×545×325mm 805*545*325mm,25kg 25kg,710W,630m3/h,上下扫风 上下扫风,遥控 遥控 APP操控 APP操控,130W,40dB 40dB,50dB,35dB 35dB 40dB,50dB,1550W,1050W,,1P 大1.0P,壁挂式空调 壁挂式空调,GE,三级能效 三级能效,整机6年，10年保修,6年,10-15㎡,4000 2000 3000 3000,珍珠白
KFR-26GW/B1KBB81U1,,2399,卧室 客厅,冷暖型,R32,5.28,2600(200-4520)W,1210(80-1850)W,4500(200-5950)W,,变频,,865×300×190mm,10kg,820×550×325mm,26kg,590W,650m3/h,,遥控,90W,51dB,51dB,17dB,51dB,1550W,1100W,,大1.0P,壁挂式空调,,一级能效,,,10-15㎡,4000 3000,
KFR-26GW/B1KJA81U1,,2999,卧室 客厅,冷暖型,R32,5.28,2600(200-4520)W,1210(80-1850)W,4500(200-5950)W,,变频,,865×300×190mm,10kg,820×550×325mm,26kg,590W,650m3/h,,遥控,90W,51dB,,40dB,,1550W,1100W,,大1.0P,壁挂式空调,京喜,一级能效,,,10-15㎡,4000 3000,
KFR-35GW/01KBB81U1,,2599,卧室 客厅,冷暖型,R32,5.28,3500(200-5100)W,1245(80-2000)W,5000(200-6700)W,,变频,,865×300×190mm,10kg,820×550×325mm,26.5kg,810W,700m3/h,,遥控 APP操控,80W,41dB,51dB,17dB,51dB,1700W,,,1.5P,壁挂式空调,静悦,一级能效,整机6年，10年保修,6年,16-24㎡,4000 3000,珍珠白
KFR-35GW/01KGC81U1,,3699,卧室 客厅,冷暖型,R32,5.28,3500(200-5100)W,1245(80-2000)W,5000(200-6700)W,,变频,,865×300×190mm,10kg,820×550×325mm,26.5kg,810W,700m3/h,,遥控 APP操控,80W,41dB,51dB,37dB,51dB,1700W,,,1.5P,壁挂式空调,静悦,一级能效,整机6年，10年保修,6年,16-24㎡,4000 5000,珍珠白
KFR-35GW/05EDS83,,2999,卧室 客厅,冷暖型,R22,4.15,3500W,336W,4450W,,变频,,885×190×300mm,10kg,800×540×320mm,26.5kg,468W,700m3/h,上下扫风,遥控,,37dB,51dB,17dB,51dB,,,,1.5P,壁挂式空调,,三级能效,整机6年，10年保修,6年,,4000 3000,珍珠白
KFR-35GW/05EDS83A,说明书x1 遥控器x1 排水管x1 护圈x1 螺钉套件x1 电池x2,2099,卧室 客厅,冷暖电辅型,R32,3.6,3500(300-4150)W,1355(90-1750)W,4450(150-5250)W,,变频,,865×190×300mm,10kg,800×325×545mm,26kg,1110W,700m3/h,上下扫风,遥控 APP操控,170W,41dB,51dB,37dB,51dB,1750W,1100W,,1.5P,壁挂式空调,先行者,三级能效,整机6年，10年保修,6年,16-24㎡,4000 3000,珍珠白
KFR-35GW/05EDS83套机A,,2269,卧室 客厅,冷暖型,R32,,,,,,变频,,855×300×190mm,,820×550×325mm,,955W,,,遥控,130W,41dB,51dB,37dB,51dB,1500W,,,1.5P,壁挂式空调,,三级能效,整机6年，10年保修,6年,,4000 3000,
KFR-35GW/16CAC81U1,,价格面议,卧室 客厅,冷暖型,R32,5.28,3500(200-4800)W,1270(80-1900)W,5100(200-6600)W,,变频,,880×190×300mm,10.5kg,820×325×550mm,28kg,810W,760m3/h,,遥控 APP操控,80W,,,,,1550W,,,1.5P,壁挂式空调,悦熙系列,一级能效,整机6年，10年保修,6年,,,珍珠白
KFR-35GW/16CDB81U1,,3799,卧室 客厅,冷暖型,R32,5.28,3500(200-5250)W,1300(80-1950)W,5100(200-6600)W,,变频,,880×190×300mm,10.5kg,820×325×550mm,27.5kg,800W,800m3/h,,遥控 APP操控,80W,,,,,1650W,,,1.5P,壁挂式空调,爱神者系列,一级能效,整机6年，10年保修,6年,,4000 5000,珍珠白
KFR-35GW/81@U1-Ga,,2599,卧室 客厅,冷暖电辅型,R32,5.28,3500W,1250W,5000W,,变频,,856×190×300mm,10kg,860×345×550mm,30kg,810W,700m3/h,,遥控,,,,,,,,,1.5P,壁挂式空调,,一级能效,整机6年，10年保修,6年,,4000 3000,香槟金
KFR-35GW/81@U1-Ge,说明书x1 遥控器x1 排水管x1 护圈x1 挂墙板x1 螺钉套件x1 外机排水弯头x1 腻子粉x1 电池x2 连机管x1 不粘胶带x1,2569,卧室 客厅,冷暖电辅型,R32,5.2,3500(200-5100)W,1325(80-1850)W,5000(200-6400)W,,变频,,855×300×190mm,10kg,860×550×345mm,30kg,810W,700m3/h,上下扫风,遥控 APP操控,80W,37dB,51dB,17dB,51dB,1650W,,,1.5P,壁挂式空调,,一级能效,整机6年，10年保修,6年,16-24㎡,4000 3000,珍珠白
